Marca;Categoria;Material;Equipos de Tecnologia;"Aplica IVA";"Precio sin IVA";IVA;"Precio con IVA";"Descuento Claro por Pago de Contado Claro";"Pago Contado";"Total pago inicial IVA incluido";Saldo a diferir;Valor de cuota 6 Meses;Valor de cuota 12 Meses;Valor de cuota 18 Meses;Valor de cuota 24 Meses;Valor de cuota 36 Meses
APPLE;AUDIFONOS;7022052;AirPods 4 Nc Btth 5.3 Blanco Apple; Si ;$ 839,412;$ 159,488;$ 998,900;$ 0;$ 998,900;$ 0;$ 998,900;$ 181,272;$ 97,304;No Aplica;No Aplica;No Aplica
APPLE;AUDIFONOS;7022093;AirPods Pro2 Bltth 5.3 Blanco Apple; Si ;$ 1,097,395;$ 208,505;$ 1,305,900;$ 0;$ 1,305,900;$ 0;$ 1,305,900;$ 236,984;$ 127,209;$ 90,881;No Aplica;No Aplica
ARGOM;AUDIFONOS;7023914;Audifonos Argom E40 Gris; Si ;$ 100,756;$ 19,144;$ 119,900;$ 0;$ 119,900;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS;7023913;Audifonos Argom E40 Prupura; Si ;$ 100,756;$ 19,144;$ 119,900;$ 0;$ 119,900;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS ;7022643;Audifonos Bluetooth Argom HS2682 Blanco; Si ;$ 142,773;$ 27,127;$ 169,900;$ 0;$ 169,900;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS ;7022602;Audifonos Bluetooth Argom HS2682 Negro; Si ;$ 142,773;$ 27,127;$ 169,900;$ 0;$ 169,900;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS ;7022644;Audifonos Bluetooth Argom HS2690 Negro; Si ;$ 294,034;$ 55,866;$ 349,900;$ 0;$ 349,900;$ 0;$ 349,900;$ 63,497;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS;7021610;Audífonos BT Argom 40 hrs blanco HS2553W; Si ;$ 83,950;$ 15,950;$ 99,900;$ 0;$ 99,901;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS;7021611;Audífonos BT Argom 40 hrs negro HS2553BK; Si ;$ 83,950;$ 15,950;$ 99,900;$ 0;$ 99,901;$ 0;;No aplica;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;AUDIFONOS;7022400;Audifonos BT Skeipods Argom E95 negro; Si ;$ 167,983;$ 31,917;$ 199,900;$ 0;$ 199,900;$ 0;$ 199,900;$ 36,276;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;CAMARA;7022393;Camara de Accion Epic 88 negra Argom; Si ;$ 504,118;$ 95,782;$ 599,900;$ 0;$ 599,900;$ 0;$ 599,900;$ 108,865;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;CAMARA;7022394;Camara de Accion Epic 90 negra Argom; Si ;$ 672,185;$ 127,715;$ 799,900;$ 0;$ 799,900;$ 0;$ 799,900;$ 145,159;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;CAMARA;7021363;CMR EPIC85 4K 1050MAH 160° 20MP NGR ARGM; Si ;$ 361,261;$ 68,639;$ 429,900;$ 0;$ 429,901;$ 0;$ 429,900;$ 78,015;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7020837;Reloj Argom Skeiwatch C30BG 4 correas; Si ;$ 252,017;$ 47,883;$ 299,900;$ 0;$ 299,900;$ 0;$ 299,900;$ 54,423;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7020839;Reloj Argom Skeiwatch C30RG 4 correas; Si ;$ 252,017;$ 47,883;$ 299,900;$ 0;$ 299,900;$ 0;$ 299,900;$ 54,423;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7020838;Reloj Argom Skeiwatch C30SL 4 correas; Si ;$ 252,017;$ 47,883;$ 299,900;$ 0;$ 299,900;$ 0;$ 299,900;$ 54,423;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7020446;Reloj Argom Skeiwatch C70 Azul; Si ;$ 336,050;$ 63,850;$ 399,900;$ 0;$ 399,900;$ 0;$ 399,900;$ 72,571;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7020445;Reloj Argom Skeiwatch C70 Negro; Si ;$ 336,050;$ 63,850;$ 399,900;$ 0;$ 399,900;$ 0;$ 399,900;$ 72,571;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7022332;Reloj Argom Skeiwatch C80 Negro; Si ;$ 478,908;$ 90,992;$ 569,900;$ 0;$ 569,901;$ 0;$ 569,900;$ 103,421;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7020674;Reloj Argom Skeiwatch S55 Negro/Verde; Si ;$ 252,017;$ 47,883;$ 299,900;$ 0;$ 299,900;$ 0;$ 299,900;$ 54,423;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7021359;"RJINT SKEIWTCH C61BK 1.45"" IP67 NGR ARGM"; Si ;$ 302,437;$ 57,463;$ 359,900;$ 0;$ 359,900;$ 0;$ 359,900;$ 65,312;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7022603;Skeiwatch C61 + Audifonos E66 negros; Si ;$ 352,857;$ 67,043;$ 419,900;$ 0;$ 419,900;$ 0;$ 419,900;$ 76,200;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7023545;Smartwatch Argom C30 Beige + C30; Si ;$ 478,908;$ 90,992;$ 569,900;$ 0;$ 569,901;$ 0;$ 569,900;$ 103,421;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7023293;Smartwatch Argom C62 Negro; Si ;$ 369,664;$ 70,236;$ 439,900;$ 0;$ 439,900;$ 0;$ 439,900;$ 79,829;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7023546;Smartwatch Argom C62 Negro + B86; Si ;$ 462,101;$ 87,799;$ 549,900;$ 0;$ 549,900;$ 0;$ 549,900;$ 99,791;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7023252;Smartwatch Argom S40 Beige; Si ;$ 285,630;$ 54,270;$ 339,900;$ 0;$ 339,900;$ 0;$ 339,900;$ 61,682;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7023251;Smartwatch Argom S40 Negro; Si ;$ 285,630;$ 54,270;$ 339,900;$ 0;$ 339,900;$ 0;$ 339,900;$ 61,682;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7023104;"SMRTWTCH C30BG 1.39"" BGE+AUDFNS E86 ARGM"; Si ;$ 361,261;$ 68,639;$ 429,900;$ 0;$ 429,901;$ 0;$ 429,900;$ 78,015;No Aplica;No Aplica;No Aplica;No Aplica
ARGOM;SMARTWATCH;7023103;"SMRTWTCH C70BK 1.39"" NG+DIAD HS2682 ARGM"; Si ;$ 436,891;$ 83,009;$ 519,900;$ 0;$ 519,900;$ 0;$ 519,900;$ 94,347;No Aplica;No Aplica;No Aplica;No Aplica
EQUIPO;Tecnología;;Financiación con Cargo a Factura Claro Movil Y/O Hogar;;Postpago Linea Nueva y Cliente Claro Con Antigüedad  de 0 A 5 Meses;Postpago Linea Nueva y Cliente Claro Con Antigüedad  de 0 A 5 Meses;Postpago Linea Nueva y Cliente Claro Con Antigüedad  de 0 A 5 Meses;Postpago Linea Nueva y Cliente Claro Con Antigüedad  de 0 A 5 Meses;;Cliente Claro Postpago Y/O  Hogar con Antigüedad Entre 6 y 23 Meses;Cliente Claro Postpago Y/O  Hogar con Antigüedad Entre 6 y 23 Meses;Cliente Claro Postpago Y/O  Hogar con Antigüedad Entre 6 y 23 Meses;Cliente Claro Postpago Y/O  Hogar con Antigüedad Entre 6 y 23 Meses;;Cliente Claro Postpago Y/O  Hogar con Antigüedad Igual o Mayor a 24  Meses;Cliente Claro Postpago Y/O  Hogar con Antigüedad Igual o Mayor a 24  Meses;Cliente Claro Postpago Y/O  Hogar con Antigüedad Igual o Mayor a 24  Meses;Cliente Claro Postpago Y/O  Hogar con Antigüedad Igual o Mayor a 24  Meses;;Clasificación ;"Cambio
Precio";;;;;;;;;
EQUIPO;Tecnología;;;;"Precio del Equipo
IVA Incluido";Descuento por Pago de Contado del Equipo;"Valor a pagar de Contado del Equipo 
Sin IVA";"Valor a pagar de Contado del Equipo 
IVA Incluido";;"Precio del Equipo
IVA Incluido";Descuento por Pago de Contado del Equipo;"Valor a pagar de Contado del Equipo 
Sin IVA";"Valor a pagar de Contado del Equipo 
IVA Incluido";;"Precio del Equipo
IVA Incluido";Descuento por Pago de Contado del Equipo;"Valor a pagar de Contado del Equipo 
Sin IVA";"Valor a pagar de Contado del Equipo 
IVA Incluido";;Clasificación ;"Cambio
Precio";;;;;;;;76;91
Alcatel 1 (5033A) Dorado;LTE;;No aplica;;$ 99,900;$ 0;$ 99,900;$ 99,900;;$ 99,900;$ 0;$ 99,900;$ 99,900;;$ 99,900;$ 0;$ 99,900;$ 99,900;;SMARTPHONE;$ 0;$ 99,900;$ 0;$ 0;$ 0; 2 ;Alcatel 5033A 1;3;$ 0;$ 0
Alcatel 1 (5033A) Negro;LTE;;No aplica;;$ 99,900;$ 0;$ 99,900;$ 99,900;;$ 99,900;$ 0;$ 99,900;$ 99,900;;$ 99,900;$ 0;$ 99,900;$ 99,900;;SMARTPHONE;$ 0;$ 99,900;$ 0;$ 0;$ 0; 1 ;Alcatel 5033A 1;3;$ 0;$ 0
Alcatel 1 (5033A) Rosado;LTE;;No aplica;;$ 99,900;$ 0;$ 99,900;$ 99,900;;$ 99,900;$ 0;$ 99,900;$ 99,900;;$ 99,900;$ 0;$ 99,900;$ 99,900;;SMARTPHONE;$ 0;$ 99,900;$ 0;$ 0;$ 0; 2 ;Alcatel 5033A 1;3;$ 0;$ 0
Alcatel TCL 20L PLUS 256GB Gris;4.5G;;Si Aplica;;$ 409,900;$ 0;$ 409,900;$ 409,900;;$ 409,900;$ 0;$ 409,900;$ 409,900;;$ 409,900;$ 0;$ 409,900;$ 409,900;;SMARTPHONE;$ 0;$ 409,900;$ 0;$ 0;$ 0; 1 ;Alcatel Tcl 20l Plus 256 Gb;1;$ 0;$ 0
Combo 2 Und Honor X6C 256Gb  Negro;4G;;Si Aplica;;$ 1,299,900;$ 150,000;$ 1,149,900;$ 1,149,900;;$ 1,218,900;$ 69,000;$ 1,149,900;$ 1,149,900;;$ 1,172,900;$ 69,000;$ 1,103,900;$ 1,103,900;;SMARTPHONE;$ 0;$ 1,149,900;$ 0;$ 0;$ 46,000; 1 ;COMBO 2 UND HONOR X6C 256GB;#N/D;$ 0;$ 0
Combo 2 Und Honor X6C 256Gb  Verde;4G;;Si Aplica;;$ 1,299,900;$ 150,000;$ 1,149,900;$ 1,149,900;;$ 1,218,900;$ 69,000;$ 1,149,900;$ 1,149,900;;$ 1,172,900;$ 69,000;$ 1,103,900;$ 1,103,900;;SMARTPHONE;$ 0;$ 1,149,900;$ 0;$ 0;$ 46,000; 2 ;COMBO 2 UND HONOR X6C 256GB;#N/D;$ 0;$ 0
Combo 2 Und HonorX6B 256Gb Verde-Morado;4G;;Si Aplica;;$ 749,900;$ 0;$ 749,900;$ 749,900;;$ 749,900;$ 0;$ 749,900;$ 749,900;;$ 749,900;$ 0;$ 749,900;$ 749,900;;SMARTPHONE;$ 0;$ 749,900;$ 0;$ 0;$ 0; 1 ;Combo 2 Und Honor X6B 256GB;#N/D;$ 0;$ 0
Combo 2Und Ka Black C Plus 256GB Neg/Mor;4G;;Si Aplica;;$ 1,095,900;$ 126,000;$ 969,900;$ 969,900;;$ 1,028,900;$ 59,000;$ 969,900;$ 969,900;;$ 990,900;$ 60,000;$ 930,900;$ 930,900;;SMARTPHONE;$ 0;$ 969,900;$ 0;$ 0;$ 39,000; 1 ;KALLEY BLACK C PLUS 256GB COMBOX2;#N/D;$ 0;$ 0
Combo 2Und Kalley Black C Pro 256GB VrAz;4G;;Si Aplica;;$ 749,900;$ 0;$ 749,900;$ 749,900;;$ 749,900;$ 0;$ 749,900;$ 749,900;;$ 749,900;$ 0;$ 749,900;$ 749,900;;SMARTPHONE;$ 0;$ 749,900;$ 0;$ 0;$ 0; 1 ;Combo 2UND Kalley Black C Pro 256Gb;#N/D;$ 0;$ 0
